ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
C36;20pF;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-FSL/Datasheets;399-8033-1-ND;0805;;
C37;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C38;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C39;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C40;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C41;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C42;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C43;10uF;c_1206POL;CAP CER 10UF 16V 10% X7R 1206;Kemet;C1206C106K4RACTU;..PCB/EDU-FSL/Datasheets;399-3525-1-ND;1206;;
C44;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C45;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C46;2.2uF;c_0805;CAP CER 2.2UF 16V 10% X7R 0805;Kemet;C0805C225K4RACTU;..PCB/EDU-FSL/Datasheets;399-3523-1-ND;0805;;
C47;10nF;c_0805;CAP CER 10000PF 16V 10% X7R 0805;Kemet;C0805C103K4RACTU;..PCB/EDU-FSL/Datasheets;399-7995-1-ND;0805;;
C48;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C49;20pF;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-FSL/Datasheets;399-8033-1-ND;0805;;
C50;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;~;..PCB/EDU-FSL/Datasheets;~;0805;;
C51;10nF;c_0805;CAP CER 10000PF 16V 10% X7R 0805;Kemet;C0805C103K4RACTU;..PCB/EDU-FSL/Datasheets;399-7995-1-ND;0805;;
C52;20pF;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-FSL/Datasheets;399-8033-1-ND;0805;;
C53;20pF;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-FSL/Datasheets;399-8033-1-ND;0805;;
D1;SMAJ5.0A;DO-214AC_SMA;TVS DIODE 5VWM SMD;Bourns Inc.;SMAJ5.0A;..PCB/EDU-FSL/Datasheets;SMAJ5.0ABCT-ND;SMA;;
D2;PMEG3020EH;DO-214AA_SMB;DIODE SCHOTTKY 30V 2A SOD123F;NXP Semiconductors;PMEG3020EH,115;..PCB/EDU-FSL/Datasheets;568-4129-1-ND;SOD-123F;;
D3;PMEG3020EH;DO-214AA_SMB;DIODE SCHOTTKY 30V 2A SOD123F;NXP Semiconductors;PMEG3020EH,115;..PCB/EDU-FSL/Datasheets;568-4129-1-ND;SOD-123F;;
D4;PMEG3020EH;DO-214AA_SMB;DIODE SCHOTTKY 30V 2A SOD123F;NXP Semiconductors;PMEG3020EH,115;..PCB/EDU-FSL/Datasheets;568-4129-1-ND;SOD-123F;;
D5;LED red;LED-0805;LED ALG RED WTR CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-FSL/Datasheets;1080-1412-1-ND;0805;;
D6;BAT54C;SOT-23;DIODE SCHOTTKY 30V 200MA;Fairchild Semiconductor;BAT54;..PCB/EDU-FSL/Datasheets;BAT54FSCT-ND;SOT23-3;;
D7;PSD12C;DO-214AA_SMB;TVS DIODE 10.2VWM 16.7VC SMB;ON Semiconductor;P6SMB12CAT3G;..PCB/EDU-FSL/Datasheets;P6SMB12CAT3GOSCT-ND;DO-214AA, SMB;;
D8;PSD12C;DO-214AA_SMB;TVS DIODE 10.2VWM 16.7VC SMB;ON Semiconductor;P6SMB12CAT3G;..PCB/EDU-FSL/Datasheets;P6SMB12CAT3GOSCT-ND;DO-214AA, SMB;;
D9;PSD12C;DO-214AA_SMB;TVS DIODE 10.2VWM 16.7VC SMB;ON Semiconductor;P6SMB12CAT3G;..PCB/EDU-FSL/Datasheets;P6SMB12CAT3GOSCT-ND;DO-214AA, SMB;;
D10;LED;LED-0805;LED ALG RED WTR CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-FSL/Datasheets;1080-1412-1-ND;0805;;
D11;LED;LED-0805;LED YELLOW WTR CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-FSL/Datasheets;1080-1410-1-ND;0805;;
D12;LED;LED-0805;LED GREEN WATER CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-FSL/Datasheets;1080-1411-1-ND;0805;;
D13;ST1;LED-0805;LED GREEN WATER CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP600C4TR;..PCB/EDU-FSL/Datasheets;1080-1411-1-ND;0805;;
D14;ST2;LED-0805;LED ALG RED WTR CLR 0805 SMD T/R;Everlight Electronics Co Ltd;QTLP630C7TR;..PCB/EDU-FSL/Datasheets;1080-1412-1-ND;0805;;
D15;LL4148;SOD-123;DIODE SMALL SIG 100V 0.2A SOD80;Fairchild;LL4148;..PCB/EDU-FSL/Datasheets;LL4148FSCT-ND;SOD80;;
D16;SMAZ5V6;SOD123F;DIODE ZENER 5.6V 500MW SOD123;ON Semiconductor;MMSZ5V6T1G;../PCB/EDU-FSL/Datasheets;MMSZ5V6T1GOSCT-ND;SOD-123;;
F1;USMF020;ptc_1210;FUSE RESETTABLE .20A 30V HLD SMD;Bourns Inc.;MF-USMF020-2;..PCB/EDU-FSL/Datasheets;MF-USMF020-2CT-ND;1210 (3225 métrico), cóncavo;;
F2;USMF020;ptc_1210;FUSE RESETTABLE .20A 30V HLD SMD;Bourns Inc.;MF-USMF020-2;..PCB/EDU-FSL/Datasheets;MF-USMF020-2CT-ND;1210 (3225 métrico), cóncavo;;
F3;MF-MSMF030-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-FSL/Datasheets;MF-MSMF030-2CT-ND;1812;;
F4;MF-MSMF110-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-FSL/Datasheets;MF-MSMF030-2CT-ND;1812;;
F5;MF-MSMF030-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-FSL/Datasheets;MF-MSMF030-2CT-ND;1812;;
F6;MF-MSMF110-2;MF-MSMF;PTC RESETTABLE .30A 30V 1812;Bourns Inc.;MF-MSMF030-2;../PCB/EDU-FSL/Datasheets;MF-MSMF030-2CT-ND;1812;;
FD1;FIDUCIAL;Fiducial_1mm;FIDUCIAL;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
FD2;FIDUCIAL;Fiducial_1mm;FIDUCIAL;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
FD3;FIDUCIAL;Fiducial_1mm;FIDUCIAL;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
FD4;FIDUCIAL;Fiducial_1mm;FIDUCIAL;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
FD5;FIDUCIAL;Fiducial_1mm;FIDUCIAL;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
FD6;FIDUCIAL;Fiducial_1mm;FIDUCIAL;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
G1;LOGO;LOGO;;;;;;;;
G2;OSHWA;OSHWA;LOGO DE OPEN SOURCE HARDWARE;;;;;;;
J1;ZX62D-AB-5P8;USB_microAB_ZX62-AB-5P8;CONN RCPT MCR USB AB SMD TH SHLL;Hirose Electric Co Ltd;ZX62D-AB-5P8;..PCB/EDU-FSL/Datasheets;H11494CT-ND;~;;
J2;5Vcc Input;Con_2P;CONN HEADER 2POS .100 VERT TIN;Molex Inc;0022232021;..PCB/EDU-FSL/Datasheet;WM4200-ND;~;;
J3;ZX62D-AB-5P8;USB_microAB_ZX62-AB-5P8;CONN RCPT MCR USB AB SMD TH SHLL;Hirose Electric Co Ltd;ZX62D-AB-5P8;..PCB/EDU-FSL/Datasheets;H11494CT-ND;~;;
J4;JTAG DIRECTO;PIN_ARRAY_5x2_1.27_SMD;CONN HDR 1.27MM SMD AU 10POS;Harwin Inc;M50-3600542;..PCB/EDU-FSL/Datasheets;952-1389-ND;~;;
J5;TB_1X3;bornier3;TERM BLOCK 5.08MM VERT 3POS PCB;On Shore Technology Inc;OSTTC032162;..PCB/EDU-FSL/Datasheets;ED2610-ND;~;;
JP1;JUMPER-2;GS2;~;~;~;~;~;~;;
JP2;JUMPER-2;GS2;~;~;~;~;~;~;;
JP3;JUMPER-2;GS2;~;~;~;~;~;~;;
JP4;JUMPER-2;GS2;~;~;~;~;~;~;;
L1;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-FSL/Datasheets;240-2392-1-ND;0805;;
L2;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-FSL/Datasheets;240-2399-1-ND;0805;;
L3;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-FSL/Datasheets;240-2399-1-ND;0805;;
L4;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-FSL/Datasheets;240-2399-1-ND;0805;;
L5;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-FSL/Datasheets;240-2399-1-ND;0805;;
L6;HZ0805E601R-10;SM0805;FERRITE 500MA 600 OHM 0805 SMD;Laird-Signal Integrity Products;HZ0805E601R-10;..PCB/EDU-FSL/Datasheets;240-2399-1-ND;0805;;
L7;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-FSL/Datasheets;240-2392-1-ND;0805;;
L8;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-FSL/Datasheets;240-2392-1-ND;0805;;
L9;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-FSL/Datasheets;240-2392-1-ND;0805;;
L10;MI0805M221R-10;SM0805;FERRITE CHIP POWER 220 OHM SMD;Laird-Signal Integrity Products;MI0805M221R-10;..PCB/EDU-FSL/Datasheets;240-2392-1-ND;0805;;
LED1;LED_ARBG;PLCC-4;LED RGB 605/525/470NM DIFF SMD;Lite-On Inc;LTST-C19FD1WT;..PCB/EDU-FSL/Datasheets;160-2022-1-ND;PLCC-4;;
MH1;PCB_HOLE;PCB_HOLE;PCB HOLE;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
MH2;PCB_HOLE;PCB_HOLE;PCB HOLE;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
MH3;PCB_HOLE;PCB_HOLE;PCB HOLE;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
MH4;PCB_HOLE;PCB_HOLE;PCB HOLE;~;~;..PCB/EDU-FSL/Datasheets;~;~;;
P1;CONN_20X2;PIN_ARRAY_20X2;;;;;;;;
P2;CONN_20X2;PIN_ARRAY_20X2;;;;;;;;
Q1;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-FSL/Datasheets;2N7002NCT-ND;SOT-23;;
Q2;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-FSL/Datasheets;2N7002NCT-ND;SOT-23;;
Q3;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-FSL/Datasheets;2N7002NCT-ND;SOT-23;;
Q4;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-FSL/Datasheets;2N7002NCT-ND;SOT-23;;
Q5;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-FSL/Datasheets;2N7002NCT-ND;SOT-23;;
Q6;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-FSL/Datasheets;2N7002NCT-ND;SOT-23;;
R1;10k;r_0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R2;10k;r_0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R3;1k;r_0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-FSL/Datasheets;311-1.0KARCT-ND;0805;;
R4;12K 1%;r_0805;RES 12K OHM 1/8W 1% 0805 SMD;Yageo;RC0805FR-0712KL;..PCB/EDU-FSL/Datasheets;311-12.0KCRCT-ND;0805;;
R5;1K;r_0805;RES 1.0K OHM 1/10W 5% 0805 SMD;Susumu;RC0805JR-071KL;..PCB/EDU-FSL/Datasheets;RR12P15.0KDCT-ND;0805;;
R6;10M;r_0805;RES 10M OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT10M0;..PCB/EDU-FSL/Datasheets;RMCF0805JT10M0CT-ND;0805;;
R7;10K;r_0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R8;10K;r_0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R9;10K;r_0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R10;10K;r_0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R11;2K2;r_0805;RES 2.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT2K20;..PCB/EDU-FSL/Datasheets;RMCF0805JT2K20CT-ND;0805;;
R12;4K7;r_0805;RES 4.7K ohm 1/8W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-FSL/Datasheets;1276-5544-1-ND;0805;;
R13;4K7;r_0805;RES 4.7K OHM 1/8W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-FSL/Datasheets;1276-5544-1-ND;0805;;
R14;4K7;r_0805;RES 4.7K ohm 1/8W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-FSL/Datasheets;1276-5544-1-ND;0805;;
R15;390;r_0805;RES 390 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-391-D;..PCB/EDU-FSL/Datasheets;RR12P390DCT-ND;0805;;
R16;220;r_0805;RES 200 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-201-D;..PCB/EDU-FSL/Datasheets;RR12P200DCT-ND;0805;;
R17;390;r_0805;RES 390 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-391-D;..PCB/EDU-FSL/Datasheets;RR12P390DCT-ND;0805;;
R18;100;r_2010;RES 100 OHM 1/2W 5% 2010 SMD;Bourns Inc.;CR2010-JW-101ELF;..PCB/EDU-FSL/Datasheets;CR2010-JW-101ELFCT-ND;2010;;
R19;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-FSL/Datasheets;311-1.0KARCT-ND;0805;;
R20;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-FSL/Datasheets;311-1.0KARCT-ND;0805;;
R21;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-FSL/Datasheets;311-1.0KARCT-ND;0805;;
R22;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-FSL/Datasheets;311-1.0KARCT-ND;0805;;
R23;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R24;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R25;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R26;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R27;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-FSL/Datasheets;RMCF0805JT330KCT-ND;0805;;
R28;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R29;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-FSL/Datasheets;RR12P680DCT-ND;0805;;
R30;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-FSL/Datasheets;RMCF0805JT330KCT-ND;0805;;
R31;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-FSL/Datasheets;RMCF0805JT330KCT-ND;0805;;
R32;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R33;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R34;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-FSL/Datasheets;RR12P680DCT-ND;0805;;
R35;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-FSL/Datasheets;RR12P680DCT-ND;0805;;
R36;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-FSL/Datasheets;RMCF0805JT330KCT-ND;0805;;
R37;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R38;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-FSL/Datasheets;RR12P680DCT-ND;0805;;
R39;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-FSL/Datasheets;RMCF0805JT330KCT-ND;0805;;
R40;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-FSL/Datasheets;RMCF0805JT330KCT-ND;0805;;
R41;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R42;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-FSL/Datasheets;P10KACT-ND;0805;;
R43;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-FSL/Datasheets;RR12P680DCT-ND;0805;;
